customerid,invoiceno,invoicedate,revenue
17850,536375,01-12-2010 09:32,6.36
15311,536381,01-12-2010 09:41,67.5
16098,536382,01-12-2010 09:45,30
17511,536390,01-12-2010 10:19,17
17511,536390,01-12-2010 10:19,45
17511,536390,01-12-2010 10:19,17.4
17511,536390,01-12-2010 10:19,34.56
17511,536390,01-12-2010 10:19,34.56
17511,536390,01-12-2010 10:19,68
17511,536390,01-12-2010 10:19,92.16
17511,536390,01-12-2010 10:19,72
17850,536406,01-12-2010 11:33,6.36
17850,536406,01-12-2010 11:33,6.36
17908,536409,01-12-2010 11:45,3.75
17908,536409,01-12-2010 11:45,2.1
17908,536409,01-12-2010 11:45,2.95
17908,536409,01-12-2010 11:45,1.25
17908,536409,01-12-2010 11:45,2.95
17908,536409,01-12-2010 11:45,2.95
17908,536409,01-12-2010 11:45,7.95
17920,536412,01-12-2010 11:49,6.5
17920,536412,01-12-2010 11:49,34.8
17920,536412,01-12-2010 11:49,13.95
17920,536412,01-12-2010 11:49,4.25
17920,536412,01-12-2010 11:49,11.55
17920,536412,01-12-2010 11:49,8.25
17920,536412,01-12-2010 11:49,8.25
17920,536412,01-12-2010 11:49,15
17920,536412,01-12-2010 11:49,8.25
17920,536412,01-12-2010 11:49,1.65
17920,536412,01-12-2010 11:49,5.9
17920,536412,01-12-2010 11:49,14.75
17920,536412,01-12-2010 11:49,5.9
17920,536412,01-12-2010 11:49,5.9
17920,536412,01-12-2010 11:49,3.75
17920,536412,01-12-2010 11:49,7.5
17920,536412,01-12-2010 11:49,0.95
17920,536412,01-12-2010 11:49,5.9
17920,536412,01-12-2010 11:49,11.25
17920,536412,01-12-2010 11:49,2.1
17920,536412,01-12-2010 11:49,2.1
17920,536412,01-12-2010 11:49,11.25
17920,536412,01-12-2010 11:49,2.95
16583,536420,01-12-2010 12:03,17.7
16583,536420,01-12-2010 12:03,17
16583,536420,01-12-2010 12:03,17.7
18085,536423,01-12-2010 12:08,15
14849,536460,01-12-2010 12:22,13.2
14849,536460,01-12-2010 12:22,40.56
14849,536460,01-12-2010 12:22,20.28
14849,536460,01-12-2010 12:22,11.9
14849,536460,01-12-2010 12:22,23.8
14849,536460,01-12-2010 12:22,11.9
14849,536460,01-12-2010 12:22,13.2
17968,536464,01-12-2010 12:23,1.1
17968,536464,01-12-2010 12:23,3.75
17968,536464,01-12-2010 12:23,1.25
17968,536464,01-12-2010 12:23,1.25
17968,536464,01-12-2010 12:23,1.65
17897,536488,01-12-2010 12:31,2.1
17897,536488,01-12-2010 12:31,1.65
14729,536520,01-12-2010 12:43,1.95
14729,536520,01-12-2010 12:43,1.3
14729,536520,01-12-2010 12:43,1.3
14729,536520,01-12-2010 12:43,0.65
14729,536520,01-12-2010 12:43,8.85
14729,536520,01-12-2010 12:43,1.95
14729,536520,01-12-2010 12:43,11.25
14729,536520,01-12-2010 12:43,19.8
14729,536520,01-12-2010 12:43,7.65
14729,536520,01-12-2010 12:43,5.04
15012,536522,01-12-2010 12:49,8.5
12662,536527,01-12-2010 13:04,19.8
12662,536527,01-12-2010 13:04,10.08
12662,536527,01-12-2010 13:04,19.5
12662,536527,01-12-2010 13:04,19.5
12662,536527,01-12-2010 13:04,18.6
12662,536527,01-12-2010 13:04,17.4
12662,536527,01-12-2010 13:04,19.8
12662,536527,01-12-2010 13:04,15
12662,536527,01-12-2010 13:04,17.4
12662,536527,01-12-2010 13:04,18
15525,536528,01-12-2010 13:17,5.04
15525,536528,01-12-2010 13:17,2.55
15525,536528,01-12-2010 13:17,5.85
14237,536529,01-12-2010 13:20,17
12433,536532,01-12-2010 13:24,15
17850,536365,01-12-2010 08:26,15.3
17850,536365,01-12-2010 08:26,20.34
17850,536365,01-12-2010 08:26,22
17850,536365,01-12-2010 08:26,20.34
17850,536365,01-12-2010 08:26,20.34
17850,536365,01-12-2010 08:26,15.3
17850,536365,01-12-2010 08:26,25.5
17850,536366,01-12-2010 08:28,11.1
17850,536366,01-12-2010 08:28,11.1
13047,536367,01-12-2010 08:34,54.08
13047,536367,01-12-2010 08:34,12.6
13047,536367,01-12-2010 08:34,12.6
13047,536367,01-12-2010 08:34,30
13047,536367,01-12-2010 08:34,9.9
13047,536367,01-12-2010 08:34,25.5
13047,536367,01-12-2010 08:34,14.85
13047,536367,01-12-2010 08:34,19.9
13047,536367,01-12-2010 08:34,17.85
13047,536367,01-12-2010 08:34,17.85
13047,536367,01-12-2010 08:34,31.8
13047,536367,01-12-2010 08:34,31.8
13047,536368,01-12-2010 08:34,25.5
13047,536368,01-12-2010 08:34,14.85
13047,536368,01-12-2010 08:34,14.85
13047,536368,01-12-2010 08:34,14.85
15165,536539,01-12-2010 14:03,25.2
15165,536539,01-12-2010 14:03,25.2
13047,536369,01-12-2010 08:35,17.85
12583,536370,01-12-2010 08:45,90
